device,family,model,quant,mmproj,bound,tok,img,iou,encode_ms,decode_ms,prompt_eval_ms,prompt_tokens,gen_ms,n_tokens,tok_per_sec,load_ms,ttft_ms,ok,note
s25,q35,0.8B,Q4_0,F16,min,1024,000000458992.jpg,0.7257,20158,5409,26060.82,1127,1013.76,37,36.5,1065.74,51655.217260273974,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000464476.jpg,0.6145,22594,5624,28717.68,1127,1176.27,43,36.56,1060.71,56963.032297592996,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000465129.jpg,0.5957,12206,4877,17433.28,1127,2487.58,99,39.8,774.24,34541.4056281407,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000481386.jpg,0.4539,24001,5743,30244.38,1171,1184.74,43,36.3,1060.91,60015.92820936639,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000481567.jpg,0.5323,18345,5269,24120.56,1127,3565.69,130,36.46,1071.03,47761.987317608335,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000481573.jpg,0.9162,14549,3649,18470.33,1147,720.47,46,63.85,785.52,36683.99170712608,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000484415.jpg,0.6626,13111,4371,17818.46,1127,868.22,38,43.77,798.67,35323.30669865204,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000485844.jpg,0.6050,12446,4949,17760.89,1144,997.99,42,42.08,642.33,35179.654258555136,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000492937.jpg,0.9077,21895,5356,27757.1,1115,1158.36,42,36.26,1056.74,55035.678599007166,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000520910.jpg,0.0413,14249,5079,19694.26,1171,1136.59,45,39.59,518.57,39047.51890376357,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000527750.jpg,0.0774,15689,4299,20271.58,1171,793.35,43,54.2,667.77,40278.03018450185,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000546976.jpg,0.5957,22630,5540,28666.9,1127,4314.55,158,36.62,1057.46,56864.20748225014,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000565045.jpg,0.0000,14759,4167,19206.43,1171,2533.63,162,63.94,529.21,38148.0696621833,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000570834.jpg,0.4083,22594,5545,28635.35,1127,4896.85,179,36.55,1065.38,56801.709781121746,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000579321.jpg,0.7498,24036,5875,30402.82,1164,1199.1,44,36.69,1065.08,60341.07538293813,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000579902.jpg,0.5134,21804,5569,27880.77,1141,1269.21,46,36.24,1068.88,55281.36381898455,1,
s25,q35,0.8B,Q4_0,F16,min,1024,000000580294.jpg,0.6411,13191,4958,18549.24,1144,990.56,40,40.38,684.56,36723.00473501734,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000002532.jpg,0.2186,3273,1267,4955.2,391,1091.38,46,42.15,907.73,9518.924792408066,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000003156.jpg,0.6946,3000,1153,4567.58,371,898.85,38,42.28,933.14,8744.231844843898,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000017899.jpg,0.6144,2837,1104,4326.3,391,945.6,43,45.47,816.1,8289.292522542335,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000030828.jpg,0.0000,2744,1070,4215.48,351,868.83,37,42.59,910.7,8052.959690068091,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000037670.jpg,0.2423,3279,1226,4914.59,391,969.75,41,42.28,899.27,9443.241844843898,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000054654.jpg,0.4012,2343,876,3576.1,351,859.68,42,48.86,885.02,6815.566639377815,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000093437.jpg,0.5421,2550,911,3805.46,377,797.09,42,52.69,821.52,7285.438933383944,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000108026.jpg,0.2417,2748,1066,4221.73,351,1731.75,73,42.15,902.11,8059.454792408066,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000123480.jpg,0.5967,3293,1232,4933.95,391,1036.73,43,41.48,912.24,9483.05800385728,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000144333.jpg,0.3538,2742,1058,4201.34,351,1827.7,78,42.68,914.67,8024.770178069353,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000170099.jpg,0.7043,3280,1219,4912.63,391,946.87,40,42.24,1101.68,9435.304242424243,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000173008.jpg,0.6598,3260,1237,4906.79,391,928.37,40,43.09,902.49,9426.997240659086,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000187243.jpg,0.5786,3262,1233,4908.94,391,930.98,40,42.97,915.74,9427.212050267628,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000202228.jpg,0.4506,2385,901,3594.46,391,900.93,46,51.06,885.23,6900.044802193498,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000210299.jpg,0.4703,2820,1100,4284.38,391,941.25,43,45.68,821.35,8226.271418563923,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000223747.jpg,0.3998,2800,1106,4319.65,357,996.05,40,40.16,905.35,8250.550398406374,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000226408.jpg,0.0542,2688,1034,4082.23,391,1575.48,74,46.97,814.77,7825.520185224611,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000233370.jpg,0.3003,2756,1049,4215.3,351,2452.34,106,43.22,912.85,8043.43743637205,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000243204.jpg,0.4970,3262,1227,4891.68,391,1032.76,45,43.57,904.42,9403.631572182694,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000261888.jpg,0.3830,2257,880,3483.43,351,2251.1,107,47.53,751.78,6641.469343572481,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000262895.jpg,0.6587,3057,1142,4601.45,371,1054.21,44,41.74,914.64,8824.407834211788,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000281032.jpg,0.5442,2756,1070,4232.6,351,953.38,42,44.05,914.02,8081.301475595914,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000289343.jpg,0.1139,2675,1034,4024.09,431,802.18,42,52.36,749.06,7752.188548510313,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000297353.jpg,0.9413,4169,1488,6016.81,491,995.86,45,45.19,828.64,11695.938789555212,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000314177.jpg,0.3686,3231,1236,4867.2,391,995.41,42,42.19,914.06,9357.902299123016,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000329219.jpg,0.5714,1848,748,2895.77,351,621.46,41,65.97,655.02,5506.928405335759,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000333745.jpg,0.3223,2753,1055,4214.33,351,1728.9,75,43.38,926.55,8045.382097740894,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000365642.jpg,0.3833,2669,946,4003.18,351,984.66,46,46.72,915.89,7639.584109589041,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000383606.jpg,0.4004,3267,1220,4893.57,391,1005.63,43,42.76,971.09,9403.956342376052,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000384808.jpg,0.3102,2818,1099,4322.44,357,1092.68,46,42.1,926.37,8263.192969121139,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000393569.jpg,0.2320,3281,1244,4939.78,391,969.74,42,43.31,930.37,9487.869355806972,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000394199.jpg,0.7163,2177,883,3355.28,391,650.17,41,63.06,662.74,6431.137913098637,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000425226.jpg,0.6415,1917,751,2916.76,391,630.17,43,68.24,807.92,5599.414161781946,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000458992.jpg,0.6413,2641,831,3803.65,391,581.95,38,65.3,833.11,7290.96393568147,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000464476.jpg,0.3052,1943,817,3073.85,357,691.5,42,60.74,709.89,5850.313615409945,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000465129.jpg,0.6073,3306,1265,4982.66,391,1013.79,43,42.42,914.65,9577.233785950024,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000481386.jpg,0.3790,2739,1037,4166.77,351,903.68,42,46.48,904.62,7964.284629948365,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000481567.jpg,0.4906,2266,902,3469.76,391,754.69,42,55.65,681.36,6655.7294519317165,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000481573.jpg,0.9508,4740,1687,6840.75,491,1039.95,42,40.39,908.31,13292.508603614757,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000484415.jpg,0.5974,2787,1124,4316.01,357,935.08,38,40.64,905.9,8251.6162992126,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000485844.jpg,0.3959,2980,1130,4515.73,371,981.52,42,42.79,904.54,8649.099946249124,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000492937.jpg,0.8665,2885,1139,4339.68,452,831.61,44,52.91,770.53,8382.580018900018,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000520910.jpg,0.0000,2759,1100,4290.83,351,1007.21,40,39.71,974.16,8175.012573659028,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000527750.jpg,0.1072,2793,1049,4254.93,351,1073.9,46,42.83,911.75,8120.278120476302,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000546976.jpg,0.6256,1860,773,2927.54,357,652.05,43,65.95,663.59,5575.70300227445,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000565045.jpg,0.0000,2939,1122,4469.45,371,983.89,43,43.7,945.71,8553.333295194509,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000570834.jpg,0.3906,2821,1107,4302.7,391,961.92,43,44.7,925.34,8253.071364653244,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000579321.jpg,0.7326,2547,995,3854.98,411,751.34,41,54.57,741.51,7415.305087044163,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000579902.jpg,0.4949,2540,998,3841.57,431,671.35,43,64.05,652.81,7395.182802498048,1,
s25,q35,0.8B,Q4_0,F16,min,256,000000580294.jpg,0.6169,2983,1146,4537.36,371,1030.29,44,42.71,914.22,8689.773720440178,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000002532.jpg,0.1883,6156,1889,8398.91,679,765.48,43,56.17,822.46,16461.713097739008,1,
s25,q35,0.8B,Q4_0,F16,min,576,000000003156.jpg,0.0000,8292,2496,11213.85,671,6167.03,255,41.35,908.35,22026.033796856103,1,no bbox in generated output
s25,q35,0.8B,Q4_0,F16,min,576,000000017899.jpg,0.6939,8937,2538,11916.96,679,954.35,39,40.87,1087.91,23416.427824810373,1,
